sampleid,timepoint,jellyfish,lightdark,jellyfish_status
NEG_CONTROL_1,NEG_CONTROL_1,NEG_CONTROL_1,NEG_CONTROL_1,NEG_CONTROL_1
NEG_CONTROL_2,NEG_CONTROL_2,NEG_CONTROL_2,NEG_CONTROL_2,NEG_CONTROL_2
NEG_CONTROL_3,NEG_CONTROL_3,NEG_CONTROL_3,NEG_CONTROL_3,NEG_CONTROL_3
POS_CONTROL,POS_CONTROL,POS_CONTROL,POS_CONTROL,POS_CONTROL
TP1C1,TP1,C1,L,Jellyfish
TP1C2,TP1,C2,D,Jellyfish
TP1C3,TP1,C3,L,Jellyfish
TP1C4,TP1,C4,D,Jellyfish
TP1C5,TP1,C5,L,Jellyfish
TP1C6,TP1,C6,D,Jellyfish
TP1C7,TP1,C7,L,Jellyfish
TP1C8,TP1,C8,D,Jellyfish
TP1C9,TP1,C9,L,Jellyfish
TP1C10,TP1,C10,D,Jellyfish
TP1C11,TP1,C11,L,Jellyfish
TP1C12,TP1,C12,D,Jellyfish
TP1C13,TP1,C13,L,Jellyfish
TP1C14,TP1,C14,D,Jellyfish
TP1L,TP1,W,L,Water
TP1D,TP1,W,D,Water
TP2C1,TP2,C1,L,Jellyfish
TP2C2,TP2,C2,D,Jellyfish
TP2C3,TP2,C3,L,Jellyfish
TP2C4,TP2,C4,D,Jellyfish
TP2C5,TP2,C5,L,Jellyfish
TP2C6,TP2,C6,D,Jellyfish
TP2C7,TP2,C7,L,Jellyfish
TP2C8,TP2,C8,D,Jellyfish
TP2C9,TP2,C9,L,Jellyfish
TP2C10,TP2,C10,D,Jellyfish
TP2C11,TP2,C11,L,Jellyfish
TP2C12,TP2,C12,D,Jellyfish
TP2C13,TP2,C13,L,Jellyfish
TP2C14,TP2,C14,D,Jellyfish
TP2L,TP2,W,L,Water
TP2D,TP2,W,D,Water
TP3C1,TP3,C1,L,Jellyfish
TP3C2,TP3,C2,D,Jellyfish
TP3C3,TP3,C3,L,Jellyfish
TP3C4,TP3,C4,D,Jellyfish
TP3C5,TP3,C5,L,Jellyfish
TP3C6,TP3,C6,D,Jellyfish
TP3C7,TP3,C7,L,Jellyfish
TP3C8,TP3,C8,D,Jellyfish
TP3C9,TP3,C9,L,Jellyfish
TP3C10,TP3,C10,D,Jellyfish
TP3C11,TP3,C11,L,Jellyfish
TP3C12,TP3,C12,D,Jellyfish
TP3C13,TP3,C13,L,Jellyfish
TP3C14,TP3,C14,D,Jellyfish
TP3L,TP3,W,L,Water
TP3D,TP3,W,D,Water
